Issuer,Reference,Type,Link,Origin,Source,CoE MS,Year,Comments,Update,fundamental rights,human agency,human rights,non discrimination,non maleficence,rule of law,sustainable development,well being,accountability,autonomy,beneficence,democracy,dignity,diversity,explainability,fairness,freedom,inclusive,justice,liability,literacy,oversight,privacy,responsibility,robustness,safe,solidarity,sustainability,transparency,trust,trustworthy
"United Nations, UN Secretary-General’s High-level Panel on Digital Cooperation",Report on The Age of Digital Interdependence,Report/Study,https://www.un.org/en/pdfs/DigitalCooperation-report-for%20web.pdf,International Organisation,UN - United Nations,No,2019,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World Economic Forum (WEF),How to prevent Discriminatory Outcomes in Machine Learning,Report/Study,http://www3.weforum.org/docs/WEF_40065_White_Paper_How_to_Prevent_Discriminatory_Outcomes_in_Machine_Learning.pdf,International Organisation,WEF - World Economic Forum,No,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World Economic Forum (WEF),4 Steps to developing Responsible AI,Policy paper,https://www.weforum.org/agenda/2019/06/4-steps-to-developing-responsible-ai/,International Organisation,WEF - World Economic Forum,No,2019,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World Economic Forum (WEF),White paper: A Framework for Responsible Limits on Facial Recognition Use Case: Flow Management,Policy paper,https://www.weforum.org/whitepapers/a-framework-for-responsible-limits-on-facial-recognition-use-case-flow-management,International Organisation,WEF - World Economic Forum,No,2020,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World Economic Forum (WEF),Guidelines for AI procurement,Principles/Guidelines/Charters,https://www.weforum.org/whitepapers/ai-government-procurement-guidelines,International Organisation,WEF - World Economic Forum,No,2019,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
AI Now Institute,AI Now Report 2018,Report/Study,https://ainowinstitute.org/AI_Now_2018_Report.pdf,Multistakeholder,United States,No,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Allen Institute for Artificial Intelligence – AI2 (Oren Etzioni, professor of Computer Science)",How to regulate AI,Principles/Guidelines/Charters,https://www.nytimes.com/2017/09/01/opinion/artificial-intelligence-regulations-rules.html,Multistakeholder,United States,No,2017,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Atomium – EISMD (AI4People),"AI4People’s Ethical Framework for a Good AI Society: Opportunities, Risks, Principles, and Recommendations",Principles/Guidelines/Charters,http://www.eismd.eu/wp-content/uploads/2019/02/Ethical-Framework-for-a-Good-AI-Society.pdf,Multistakeholder,Belgium,Yes,2018,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
AI4Belgium Coalition,AI4Belgium: AI National Strategy,Policy paper,https://www.ai4belgium.be/wp-content/uploads/2019/04/report_en.pdf,Multistakeholder,Belgium,Yes,2019,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bejing Academy of Artificial Intelligence, Peking University, Tsinghua University, Institute of Automation and Institute of Computing Technology in Chinese Academy of Sciences, and an AI industrial league involving firms like Baidu, Alibaba and Tencent",Bejing AI Principles,Principles/Guidelines/Charters,https://www.baai.ac.cn/blog/beijing-ai-principles,Multistakeholder,China,No,2019,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Bertelsmann Stiftung & iRights.lab,AlgoRules,Principles/Guidelines/Charters,https://algorules.org/en/home/,Multistakeholder,Germany,Yes,2019,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Cities Coalition for Digital Rights,Declaration of Cities Coalition for Digital Right,Principles/Guidelines/Charters,https://citiesfordigitalrights.org/assets/Declaration_Cities_for_Digital_Rights.pdf,Multistakeholder,Multistakeholder,No,2018,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Data Ethics,Data Ethics Principles,Principles/Guidelines/Charters,https://dataethics.eu/data-ethics-principles/,Multistakeholder,Denmark,Yes,2017,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Data&Society,Governing Artificial Intelligence: Upholding human rights and dignity,Principles/Guidelines/Charters,https://datasociety.net/wp-content/uploads/2018/10/DataSociety_Governing_Artificial_Intelligence_Upholding_Human_Rights.pdf,Multistakeholder,United States,No,2018,,Data updated on 02 January 2021,"0,00","0,00","0,02","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Digital Impact Alliance (DIAL),Principles for Digital Development,Principles/Guidelines/Charters,https://digitalprinciples.org,Multistakeholder,United States,No,2017,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,00","0,00","0,00","0,00","0,01","0,00","0,00","0,00"
"Future of Humanity Institute, University of Oxford, Center for the Study of Existential Risk, University of Cambridge, Center for New American Security, Electronic Frontier Foundation, Open AI","The Malicious Use of Artificial Intelligence: Forecasting, Prevention, and Mitigation",Report/Study,https://arxiv.org/ftp/arxiv/papers/1802/1802.07228.pdf,Multistakeholder,United States,No,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Future of Life Institute,Asilomar AI Principles,Principles/Guidelines/Charters,https://futureoflife.org/ai-principles/,Multistakeholder,United States,No,2017,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Global Network Initiative,The GNI Principles on Freedom of Expression and Privacy,Principles/Guidelines/Charters,https://globalnetworkinitiative.org/wp-content/uploads/2018/04/GNI-Principles-on-Freedom-of-Expression-and-Privacy.pdf,Multistakeholder,United States,No,2017,,Data updated on 02 January 2021,"0,00","0,00","0,01","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,00","0,00","0,00","0,00","0,00","0,01","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Hochschule der Medien (Stuttgart Media University),10 ethical guidelines for the digitalisation of companies - 10 ethische Leitlinien für die Digitalisierung von Unternehmen,Principles/Guidelines/Charters,https://www.hdm-stuttgart.de/digitale-ethik/digitalkompetenz/ethische_unternehmensleitlinien,Multistakeholder,Germany,Yes,2017,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,00","0,00","0,00","0,01","0,00","0,00","0,00"
Icelandic Institute for Intelligent Machines (IIIM),Ethics policy,Policy paper,http://www.iiim.is/ethics-policy/,Multistakeholder,Iceland,Yes,2015,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institute for Business Ethics,Business Ethics and Artificial Intelligence,Principles/Guidelines/Charters,https://www.ibe.org.uk/uploads/assets/5f167681-e05f-4fae-ae1bef7699625a0d/ibebriefing58businessethicsandartificialintelligence.pdf,Multistakeholder,United Kingdom,Yes,2018,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"Institute for Information and Communications Policy (IICP), The Conference toward AI Network Society",Draft AI R&D Guidelines for International Discussions (Japanese initiative linked to G7/OECD Work),Principles/Guidelines/Charters,https://www.soumu.go.jp/main_content/000507517.pdf,Multistakeholder,Japan,No,2017,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"Institute for the Future, Omidyar Network",Ethical OS Framework,Principles/Guidelines/Charters,https://ethicalos.org/,Multistakeholder,United States,No,2018,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Integrate.ai,Responsible AI in Consumer Enterprise,Policy paper,https://static1.squarespace.com/static/5d387c126be524000116bbdb/t/5d77e37092c6df3a5151c866/1568138185862/Ethics-of-artificial-intelligence.pdf,Multistakeholder,Canada,No,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese Society for AI,The Japanese Society for Artificial Intelligence Ethical Guidelines,Principles/Guidelines/Charters,http://www.ai-elsi.org/wp-content/uploads/2017/05/JSAI-Ethical-Guidelines-1.pdf,Multistakeholder,Japan,No,2017,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
O'Reilly,Data Ethics Checklist,Policy paper,https://www.oreilly.com/ideas/of-oaths-and-checklists,Multistakeholder,United States,No,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenAI,Open AI Charter,Principles/Guidelines/Charters,https://openai.com/charter/,Multistakeholder,United States,No,2018,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"Stanford University, SRI International, MIT, OpenAI, McKinsey Global Institute, Partnership on AI, Harvard University",AI Index 2018,Report/Study,http://cdn.aiindex.org/2018/AI%20Index%202018%20Annual%20Report.pdf,Multistakeholder,United States,No,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stanford University, SRI International, MIT, OpenAI, McKinsey Global Institute, Partnership on AI, Harvard University",AI Index 2019,Report/Study,https://hai.stanford.edu/sites/default/files/ai_index_2019_report.pdf,Multistakeholder,United States,No,2019,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swiss Academy of Technical Sciences (SATW),Recommendations for an AI Strategy in Switzerland,Policy paper,https://www.satw.ch/fileadmin/user_upload/documents/02_Themen/08_Kuenstliche-Intelligenz/SATW-Swiss_AI_Strategy.pdf,Multistakeholder,Switzerland,Yes,2019,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Good Technology Collective,The Good Technology Standard (Draft),Principles/Guidelines/Charters,https://github.com/GoodTechnologyCollective/GTS,Multistakeholder,Germany,Yes,2018,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"Federal Ministry for Transport, Innovation and Technology, Federal Ministry for Digital and Economic Affairs (Austria)",Artificial Intelligence Mission Austria 2030,Policy paper,"https://www.bmvit.gv.at/service/publikationen/innovation/ikt/downloads/aimat_ua.pdf",National Authorities,Austria,Yes,2019,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Federal Chancellery, Federal Ministry for Digital and Economic Affairs (Austria)",Digital Roadmap Austria,Policy paper,"https://www.digitalroadmap.gv.at/en/",National Authorities,Austria,Yes,2017,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austrian Council For Robotics And Artificial Intelligence,White Paper - Shaping the Future of Austria with Robotics and Artificial Intelligence,Policy paper,https://www.acrai.at/wp-content/uploads/2020/03/ACRAI_White_Paper_EN.pdf,National Authorities,Austria,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austrian Council For Robotics And Artificial Intelligence,Recommandation on strategy creation process (AIM AT 2030),Policy paper,https://www.acrai.at/wp-content/uploads/2019/04/190315_Ratsempfehlung_zum_Strategieprozess_AIM_AT_2030.pdf,National Authorities,Austria,Yes,2019,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Department of Economy, Science and Innovation (Flanders, Belgium)",Action Plan for AI and Cybersecurity,Policy paper,https://www.ewi-vlaanderen.be/sites/default/files/quaternota_aan_de_vlaamse_regering_-_vlaams_beleidsplan_artificiele_intelligentie.pdf,National Authorities,Belgium,Yes,2019,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walloon Government (Belgium),Digitalwallonia4AI,Policy paper,"https://www.digitalwallonia.be/fr",National Authorities,Belgium,Yes,2019,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy of Medical Royal Colleges,Artificial Intelligence (AI) in Health,Report/Study,https://www.aomrc.org.uk/wp-content/uploads/2019/01/Artificial_intelligence_in_healthcare_0119.pdf,National Authorities,United Kingdom,No,2019,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry of Finance and Ministry of Industry, Business and Financial Affairs (Danemark)",National Strategy for Artificial Intelligence,Policy paper,https://en.digst.dk/media/19337/305755_gb_version_final-a.pdf,National Authorities,Denmark,Yes,2019,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strategic Council for Ai Technology,Artificial Intelligence Technology Strategy,Policy paper,https://www.nedo.go.jp/content/100865202.pdf,National Authorities,Japan,No,2017,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advisory Board on Artificial Intelligence and Human Society (initiative of theMinister of State for Science and Technology Policy),Report on Artificial Intelligence and Human Society (unofficial translation),Report/Study,https://www8.cao.go.jp/cstp/tyousakai/ai/summary/aisociety_en.pdf,National Authorities,Japan,No,2017,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of economic development (Italy),AI National Strategy,Policy paper,https://www.mise.gov.it/images/stories/documenti/Strategia-Nazionale-Intelligenza-Artificiale-Bozza-Consultazione.pdf,National Authorities,Italy,Yes,2019,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agency for Digital Italy,AI at the service of Citizens,Policy paper,https://ia.italia.it/assets/whitepaper.pdf,National Authorities,Italy,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Embassy in Mexico City,Towards an AI Strategy in Mexico: Harnessing the AI Revolution,Policy paper,http://go.wizeline.com/rs/571-SRN-279/images/Towards-an-AI-strategy-in-Mexico.pdf,National Authorities,United Kingdom,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canada, France",Statement on Artificial Intelligence,Policy paper,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/europe/2018-06-07-france_ai-ia_france.aspx?lang=eng,National Authorities,Multistakeholder,No,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBS (Statistics Netherlands),Exploratory study on the use of algoritms by government organisations,Report/Study,https://www.cbs.nl/-/media/_pdf/2018/48/verkennend%20onderzoek%20naar%20het%20gebruik%20van%20algoritmen%20binnen%20overheidsorganisaties.pdf,National Authorities,Netherlands,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China Electronics Standardization Institute,White Paper on AI Standardization,Principles/Guidelines/Charters,https://www.newamerica.org/cybersecurity-initiative/digichina/blog/translation-excerpts-chinas-white-paper-artificial-intelligence-standardization/,National Authorities,China,No,2020,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
State Council,Next Generation Artifical Intelligence Plan,Policy paper,http://fi.china-embassy.org/eng/kxjs/P020171025789108009001.pdf,National Authorities,China,No,2017,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National New Generation AI Promotion Office / National New Generation Artificial Intelligence Governance Committee,New Generation AI Governance Principles – Developing Responsible AI,Principles/Guidelines/Charters,http://chinainnovationfunding.eu/dt_testimonials/publication-of-the-new-generation-ai-governance-principles-developing-responsible-ai/,National Authorities,China,No,2019,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Chinese Government,Governance Principles for a New Generation of Artificial Intelligence: Develop Responsible Artificial Intelligence,Policy paper,https://www.newamerica.org/cybersecurity-initiative/digichina/blog/translation-chinese-expert-group-offers-governance-principles-responsible-ai/,National Authorities,China,No,2019,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comité Consultatif National d'Ethique (CCNE) and Commission de réflexion sur l’Éthique de la Recherche en sciences et technologies du Numérique d’Allistene (CERNA),"Digital technology and healthcare, which ethical issues for which regulations?",Report/Study,https://www.ccne-ethique.fr/en/publications/digital-technology-and-healthcare-which-ethical-issues-which-regulations,National Authorities,France,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commission de réflexion sur l’Éthique de la Recherche en sciences et technologies du Numérique d’Allistene (CERNA),Robotics Research Ethics - Ethique de la Recherche en Robotique,Report/Study,http://cerna-ethics-allistene.org/digitalAssets/38/38704_Avis_robotique_livret.pdf,National Authorities,France,Yes,2014,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commission de surveillance du secteur financier,"Artificial Intelligence: opportunities, risks and recommendations for the financial sector",Report/Study,https://www.cssf.lu/fileadmin/files/Publications/Rapports_ponctuels/CSSF_White_Paper_Artificial_Intelligence_201218.pdf,National Authorities,Luxembourg,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commission nationale informatique et libertés (CNIL),How can humans keep the upper hand? Report on the ethical matters raised by algorithms and artificial intelligence - Comment permettre à l’Homme de garder la main ? Rapport sur les enjeux éthiques des algorithmes et de l’intelligence artificielle,Non binding instrument,https://www.cnil.fr/sites/default/files/atoms/files/cnil_rapport_ai_gb_web.pdf,National Authorities,France,Yes,2017,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Conference of the Independent Federal and State Data Protection Supervisory Authorities - Datenschutzkonferenz (Germany),Hambach Declaration on Artificial Intelligence – Seven data protection obligations - Hambacher Erklärung zur Künstlichen Intelligenz – Sieben datenschutzrechtliche Anforderungen,Principles/Guidelines/Charters,https://www.datenschutz.bremen.de/sixcms/media.php/13/Hambacher_Erklaerung_englisch.pdf,National Authorities,Germany,Yes,2019,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"Coordination Office of INCoDe.2030 Initiative, Portuguese Science and Technology Foundation (FCT), Portuguese Innovation Agency (ANI), Ciência Viva and the Portuguese Agency for Administrative Modernisation (AMA)",AI Portugal 2030,Policy paper,https://www.incode2030.gov.pt/sites/default/files/julho_incode_brochura.pdf,National Authorities,Portugal,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Ethics Commission (Germany),Recommendations for the Federal Government’s Strategy on Artificial Intelligence,Non binding instrument,https://www.bmi.bund.de/SharedDocs/pressemitteilungen/EN/2018/data-ethics-commission.html,National Authorities,Germany,Yes,2018,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Data Ethics Commission (Germany),Opinion of the Data Ethics Commission on the National AI strategy,Policy paper,https://www.bmjv.de/SharedDocs/Downloads/DE/Themen/Fokusthemen/Gutachten_DEK_EN.pdf?__blob=publicationFile&v=1,National Authorities,Germany,Yes,2019,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Department for Business, Energy & Industrial Strategy and Department for Digital, Culture, Media & Sport (United Kingdom)",Policy paper on A Sector Deal between government and the Artificial Intelligence sector,Policy paper,https://www.gov.uk/government/publications/artificial-intelligence-sector-deal,National Authorities,United Kingdom,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Department for Digital, Culture, Media & Sport and Department for Business, Energy & Industrial Strategy (United Kingdom)",Growing the artificial intelligence industry in the UK,Policy paper,https://www.gov.uk/government/publications/growing-the-artificial-intelligence-industry-in-the-uk,National Authorities,United Kingdom,Yes,2017,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Department for Digital, Culture, Media & Sport and Department for Business, Energy & Industrial Strategy (United Kingdom)",AI Sector Deal,Policy paper,https://www.gov.uk/government/publications/artificial-intelligence-sector-deal/ai-sector-deal,National Authorities,United Kingdom,Yes,2019,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Department for Digital, Culture, Media & Sport and Department for Business, Energy & Industrial Strategy and Office for AI (United Kingdom)",Guidelines for AI procurement,Principles/Guidelines/Charters,https://www.gov.uk/government/publications/guidelines-for-ai-procurement/guidelines-for-ai-procurement,National Authorities,United Kingdom,Yes,2020,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"Department for Digital, Culture, Media and Sport (United Kingdom)",Data Ethics Framework,Principles/Guidelines/Charters,https://www.gov.uk/government/publications/data-ethics-framework/data-ethics-framework,National Authorities,United Kingdom,Yes,2018,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"Department for Digital, Culture, Media and Sport (United Kingdom)",New national innovation centre to put UK at forefront of big data,Policy paper,https://www.gov.uk/government/news/new-national-innovation-centre-to-put-uk-at-forefront-of-big-data,National Authorities,United Kingdom,Yes,2017,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Department for Digital, Culture, Media and Sport (United Kingdom)",Draft Information Sharing Code of Practice,Principles/Guidelines/Charters,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/709519/2018-05_PSD_Debt_and_Fraud_Draft_Information_Sharing_Code_of_Practice.pdf,National Authorities,United Kingdom,Yes,2018,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Department of Health & Social Care,Initial Code of Conduct for Data-Driven Health and Care Technology,Principles/Guidelines/Charters,https://www.gov.uk/government/publications/code-of-conduct-for-data-driven-health-and-care-technology/initial-code-of-conduct-for-data-driven-health-and-care-technology,National Authorities,United Kingdom,Yes,2019,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Department of Industry Innovation and Science (Australia),Artificial Intelligence. Australia’s Ethics Framework: A Department of Industry Innovation and Science Australia Discussion Paper,Principles/Guidelines/Charters,https://www.atse.org.au/wp-content/uploads/2019/05/AI-ethics-framework-Data61.pdf,National Authorities,Australia,No,2019,,Data updated on 02 January 2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Deputy Prime Minister of the Slovak Republic for Investment and Informatics,National Conception of Informatisation of public sector of the Slovak Republic,Policy paper,http://www.informatizacia.sk/narodna-koncepcia-informatizacie-verejnej-spravy--2016-/22662c,National Authorities,Slovakia,Yes,2016,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deputy Prime Minister of the Slovak Republic for Investment and Informatics,Strategic Priority the Data Management,Policy paper,http://www.informatizacia.sk/ext_dok-uppvii_sp_manazment_udajov_vfinal/24196c,National Authorities,Slovakia,Yes,2018,,Data updated on 02 January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
